GID;NOMBRE;OBSERVACIONES;TIPO_LOCAL_SEL_DOM;THE_GEOM.SDO_POINT.X;THE_GEOM.SDO_POINT.Y
 1311;Autoservice DEL FUERTE;;Supermercado; 580672.113988946; 6143020.839922045
 1312;Autoservice OCASION;;Supermercado; 578446.329683488; 6143034.596149962
 1318;Autoservice;;Supermercado; 581221.81219922; 6144986.810070707
 1319;Autoservice RED MARKET;;Supermercado; 587156.942811954; 6151347.658070256
 1327;Autoservice DON PEPE;;Supermercado; 578965.178007923; 6148454.268089012
 1328;Autoservice ECO;;Supermercado; 574994.262898621; 6143230.159653527
 1334;Autoservice ZUM FELDE;;Supermercado; 582188.838299198; 6140041.782840298
 1342;Autoservice LUCAS;;Supermercado; 586693.078038342; 6140422.46252536
 1343;Autoservice KINKO 8;;Supermercado; 585712.725798467; 6139788.716507608
 1350;Autoservice LA BOHEMIA 2;;Supermercado; 572811.520290333; 6143815.930355296
 1358;Autoservice PARIS;En 5472;Supermercado; 570785.516703386; 6146748.986020018
 1363;Autoservice ;;Supermercado; 568886.863502038; 6149158.410903092
 1364;Autoservice UNICENTRO;;Supermercado; 568646.119953225; 6149456.219722576
 1332;Autoservice LOS PARAISOS;En 6125;Supermercado; 576320.746838124; 6149847.679272592
 1346;Autoservice VITER;;Supermercado; 570286.280311219; 6145215.652974054
 1349;Autoservice ARIEL;En 4499;Supermercado; 572349.690041289; 6144155.293803366
 1352;Autoservice CC. MM. CANTINA MILITAR;;Supermercado; 574166.459521822; 6145392.617673837
 1353;Autoservice LA FAMILIA;;Supermercado; 573113.291782423; 6145853.563873172
 1366;Supermercado TATA;;Supermercado; 578576.580187599; 6146237.502744216
 1369;Autoservice LA CRUZ;En Av BOLIVIA 2895;Supermercado; 582544.872516698; 6140701.957425646
 1368;Autoservice FERIA VEGETAL;Av Italia 5558;Supermercado; 583399.281494626; 6139480.807416554
 1370;Autoservice SAN CONO;En 3682;Supermercado; 566493.393268971; 6139202.871838735
 1330;Autoservice IBIZA 2;En 4711;Supermercado; 577154.173258639; 6146376.974528796
 1340;Autoservice SUPER SOL;Esquina AMAZONAS;Supermercado; 582200.205677874; 6138131.486159654
 1348;Autoservice LAS BARRERAS;En 4835;Supermercado; 571634.46628904; 6145118.569572822
 224;Supermercado MULTIAHORRO;Cont. 2;Supermercado; 568828.615129372; 6140734.399652062
 226;Supermercado TATA;Cont. 2;Supermercado; 568712.811841833; 6138863.977903288
 227;Supermercado EXPRESS 1;Cont. 2;Supermercado; 570198.437769851; 6141192.995677617
 229;Supermercado EXPRESS 6;;Supermercado; 571250.616054534; 6141660.396538003
 244;Supermercado MICRO MARCO;;Supermercado; 580373.405192618; 6141452.337595222
 245;Supermercado DISCO;;Supermercado; 579253.08511584; 6142464.076644134
 246;Supermercado MULTIAHORRO_TATA;;Supermercado; 580128.459973331; 6144237.85285153
 247;SUPERMERCADO;EN 4208;Supermercado; 578573.652616214; 6145808.205112946
 248;Supermercado CONTINENTE;;Supermercado; 578747.363405118; 6146945.971000547
 263;Supermercado TATA;;Supermercado; 577554.769489092; 6142181.216372173
 264;Supermercado TIENDA INGLESA;EN 3771;Supermercado; 576293.915666557; 6141482.147093452
 265;Supermercado TATA;;Supermercado; 578516.24182785; 6145599.89329955
 5;Supermercado TIENDA INGLESA;EN 966;Supermercado; 577720.648161863; 6136163.72071007
 20;Supermercado DEVOTO;;Supermercado; 574771.538955497; 6141104.512961093
 22;Supermercado DISCO;;Supermercado; 578151.026113242; 6136703.224560775
 25;Supermercado MULTIAHORRO;;Supermercado; 573667.875171512; 6142910.216736346
 26;Supermercado MULTIAHORRO;;Supermercado; 576910.935518398; 6136542.247157819
 102;Supermercado TATA;EN 1280;Supermercado; 574143.683798694; 6137099.985710179
 106;Supermercado TATA;EN 880;Supermercado; 573310.769787131; 6137032.2825304
 200;Supermercado DEVOTO;Garzón 1939;Supermercado; 571095.999982543; 6148296.286097706
 201;Supermercado TATA;;Supermercado; 571102.645654716; 6148361.415909847
 209;Supermercado MULTIAHORRO;AV LEZICA 6345;Supermercado; 568801.007248646; 6149251.130172414
 243;Supermercado TIENDA INGLESA;EN 4086;Supermercado; 579063.754951796; 6140953.419965682
 251;Supermercado DISCO;RUTA 8 7720;Supermercado; 583549.678903254; 6148565.198838606
 253;Supermercado MACROMERCADO;EN 6783;Supermercado; 582113.234458791; 6146062.087727497
 260;Supermercado DEVOTO;;Supermercado; 578260.754409086; 6140296.890734846
 261;Supermercado TATA;EN 3721;Supermercado; 578468.537661497; 6140440.326774444
 262;Supermercado TATA;;Supermercado; 576599.50822783; 6142741.241451899
 356;Supermercado DEVOTO;;Supermercado; 584073.603819469; 6138370.707296989
 363;Supermercado MULTIAHORRO;;Supermercado; 585070.626831602; 6140922.679977774
 353;Supermercado TATA;;Supermercado; 584172.578637645; 6139760.042132065
 355;Supermercado DEVOTO;;Supermercado; 584152.617624; 6139756.923223683
 357;Supermercado DEVOTO;;Supermercado; 585300.871904751; 6138407.151387418
 358;Supermercado TIENDA INGLESA;;Supermercado; 586012.753791019; 6139019.52338386
 362;Supermercado DEVOTO;;Supermercado; 586160.455966168; 6140125.553992217
 1316;Autoservice SUPER DESCUENTO;;Supermercado; 578610.182328744; 6146153.700807696
 1325;Autoservice IBIZA;;Supermercado; 578674.339847156; 6146739.302528896
 1337;Autoservice RED MARKET 13;;Supermercado; 580019.058136977; 6139121.75246532
 1378;En vía pública;C12-n10, Fte. 2208;Supermercado; 576221.32444276; 6135661.484042767
 1285;Autoservice EL CLON;;Supermercado; 571444.568288198; 6142485.209864684
 1288;Autoservice MANJARES;;Supermercado; 570340.724029463; 6142727.560924958
 1292;Autoservice EL CLON;;Supermercado; 568493.436071583; 6140658.591695999
 1299;Autoservice  LOS PORTONES;;Supermercado; 561128.443399248; 6142173.258933983
 1300;Autoservice MULTI ECO;;Supermercado; 566421.803529741; 6144907.701199216
 1304;Autoservice ;;Supermercado; 559213.283554786; 6150060.14036244
 1309;Autoservice RED MARKET 11;;Supermercado; 565288.094226123; 6146429.28539652
 1313;Autoservice SUPER;;Supermercado; 577895.800491526; 6143136.502530525
 1322;Autoservice DEPOSITO MAYORISTA;;Supermercado; 577192.249213266; 6140903.728743459
 1310;Autoservice SUPER LOS 33;;Supermercado; 580730.581837694; 6140868.448540674
 1314;Autoservice BETINA;;Supermercado; 579089.558808988; 6143710.660563896
 1315;Autoservice SUPER;;Supermercado; 579056.680810144; 6143761.404591958
 1317;Autoservice FRIGO 2000;;Supermercado; 579214.947785756; 6144538.77295967
 1326;Autoservice TAMISUR;;Supermercado; 579021.578555289; 6150814.660033466
 1329;Autoservice LA RANITA;En 4468;Supermercado; 577845.350779746; 6146833.634740812
 1331;Autoservice FRIGO;En 3086;Supermercado; 576643.361061042; 6148065.79040134
 1333; Autoservice FRIGO REY;;Supermercado; 582221.68996278; 6139988.245126888
